"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
  -6.53376102448E-01  -8.56709957123E+00  N20285.00016
  -3.93562912941E+00  -8.78050041199E+00  N20285.00017
  -5.50451231003E+00  -8.07929992676E+00  N20285.00018
  -3.46694850922E+00  -7.31710004807E+00  N20285.00019
   1.24300136566E+01  -1.53659999371E+00  N10384.00001
   1.05293560028E+01  -1.56710004807E+00  N10384.00002
   1.16935491562E+01   1.40200003982E-01  N10384.00003
   9.48606967926E+00  -1.21999997646E-02  N10384.00004
   4.33461713791E+00  -6.35370016098E+00  N10384.00005
  -4.42436933517E-02  -4.43289995193E+00  N10384.00006
  -3.84345507622E+00  -5.92679977417E+00  N10384.00007
  -6.01299190521E+00  -5.53049993515E+00  N10384.00008
  -7.29646492004E+00  -4.25000000000E+00  N10384.00009
  -6.63059806824E+00  -3.12199997902E+00  N10384.00010
  -1.37352168560E-01  -2.72560000420E+00  N10384.00011
   3.78720736504E+00  -2.42070007324E+00  N10384.00012
   1.03002176285E+01  -1.64599999785E-01  N10384.00013
   1.40603485107E+01   1.32930004597E+00  N10384.00014
   8.27610778809E+00  -2.75609993935E+00  N10384.00015
   9.17905139923E+00  -9.57300007343E-01  N10384.00016
   5.83593463898E+00  -3.79270005226E+00  N10384.00017
   8.55485081673E-01  -5.74389982224E+00  N10384.00018
  -2.07807922363E+00  -4.43289995193E+00  N10384.00019
  -3.34974980354E+00  -3.48779988289E+00  N10384.00020
  -3.16528487206E+00  -4.00610017776E+00  N10384.00021
  -2.17320457101E-01  -1.84150004387E+00  N10384.00022
   2.23546142578E+01   3.69210004807E+00  N7301.00001 
   3.70339508057E+01   4.42379999161E+00  N7301.00002 
   2.42948646545E+01   3.96650004387E+00  N7301.00003 
   2.58724899292E+01  -1.05761995316E+01  N1309.00001 
   1.08695154190E+01  -1.06372003555E+01  N1309.00002 
   2.29348583221E+01  -9.93599987030E+00  N1309.00003 
   1.32284250259E+01  -1.00579004288E+01  N1309.00004 
   8.91964263916E+01   2.33110008240E+01  N4579.00001 
   6.19280242920E+01   2.34939002991E+01  N4579.00002 
   8.91418762207E+01   2.31889991760E+01  N4579.00003 
   6.45697784424E+01   2.29146003723E+01  N4579.00004 
   1.89290657043E+01  -8.32929992676E+00  N3103.00001 
   2.67693221569E-01  -8.81709957123E+00  N3103.00002 
   1.73285064697E+01  -7.07929992676E+00  N3103.00003 
   4.01016187668E+00  -7.99389982224E+00  N3103.00004 
   7.88190555573E+00  -8.35369968414E+00  N358.00001  
  -4.50226497650E+00  -8.96339988708E+00  N358.00002  
   6.13950824738E+00  -7.77440023422E+00  N358.00003  
