BEGIN Observation_Data Table
NROW=571 NCOL=3 COLUMNLABELS 
ObsName GroupName ObsValue
N20285.00003 Heads -8.01830005646
N20285.00004 Heads -7.28660011292
N20285.00005 Heads -8.50609970093
N20285.00006 Heads -9.42070007324
N20285.00007 Heads -9.96949958801
N20285.00008 Heads -13.0183000565
N20285.00009 Heads -8.26220035553
N20285.00010 Heads -8.26220035553
N20285.00011 Heads -7.46950006485
N20285.00012 Heads -6.64629983902
N20285.00013 Heads -7.46950006485
N20285.00014 Heads -7.19509983063
N20285.00015 Heads -8.01830005646
N20285.00016 Heads -8.56709957123
N20285.00017 Heads -8.78050041199
N20285.00018 Heads -8.07929992676
N20285.00019 Heads -7.31710004807
N10384.00001 Heads -1.53659999371
N10384.00002 Heads -1.56710004807
N10384.00003 Heads 0.140200003982
N10384.00004 Heads -0.0121999997646
N10384.00005 Heads -6.35370016098
N10384.00006 Heads -4.43289995193
N10384.00007 Heads -5.92679977417
N10384.00008 Heads -5.53049993515
N10384.00009 Heads -4.25
N10384.00010 Heads -3.12199997902
N10384.00011 Heads -2.7256000042
N10384.00012 Heads -2.42070007324
N10384.00013 Heads -0.164599999785
N10384.00014 Heads 1.32930004597
N10384.00015 Heads -2.75609993935
N10384.00016 Heads -0.957300007343
N10384.00017 Heads -3.79270005226
N10384.00018 Heads -5.74389982224
N10384.00019 Heads -4.43289995193
N10384.00020 Heads -3.48779988289
N10384.00021 Heads -4.00610017776
N10384.00022 Heads -1.84150004387
N7301.00001 Heads 3.69210004807
N7301.00002 Heads 4.42379999161
N7301.00003 Heads 3.96650004387
N1309.00001 Heads -10.5761995316
N1309.00002 Heads -10.6372003555
N1309.00003 Heads -9.9359998703
N1309.00004 Heads -10.0579004288
N4579.00001 Heads 23.311000824
N4579.00002 Heads 23.4939002991
N4579.00003 Heads 23.188999176
N4579.00004 Heads 22.9146003723
N3103.00001 Heads -8.32929992676
N3103.00002 Heads -8.81709957123
N3103.00003 Heads -7.07929992676
N3103.00004 Heads -7.99389982224
N358.00001 Heads -8.35369968414
N358.00002 Heads -8.96339988708
N358.00003 Heads -7.77440023422
N358.00004 Heads -8.23169994354
