k,i,j,bhead,cond
2,99,59,-38.209242033120894,29.9151298828125
1,99,60,-38.40957745656158,28.83110888671875
2,99,60,-38.40957745656158,29.71127724609375
1,99,61,-38.54799108340679,28.755846386718755
2,99,61,-38.54799108340679,29.50742197265625
1,99,62,-38.62306010683457,28.6805865234375
2,99,62,-38.62306010683457,29.3035693359375
1,99,63,-38.64350233528345,28.6053240234375
2,99,63,-38.64350233528345,29.0997140625
1,99,64,-38.61160870518005,28.5300615234375
2,99,64,-38.61160870518005,28.8958640625
1,99,65,-38.53754037462519,28.454801660156257
2,99,65,-38.53754037462519,28.69201142578125
1,99,66,-38.42691209619416,28.37953916015625
2,99,66,-38.42691209619416,28.488156152343755
1,99,67,-38.28334137622652,28.304279296875
2,99,67,-38.28334137622652,28.284303515625
1,99,68,-38.11358718737443,28.229016796875
2,99,68,-38.11358718737443,28.080448242187504
1,99,69,-37.91736916747845,28.15375693359375
2,99,69,-37.91736916747845,27.87659560546875
1,99,70,-37.69984193416169,28.07849443359375
2,99,70,-37.69984193416169,27.672740332031257
1,99,71,-37.46237645567105,28.0032345703125
2,99,71,-37.46237645567105,27.4688876953125
1,99,72,-37.20568968676199,27.927972070312507
2,99,72,-37.20568968676199,27.265032421875
1,99,73,-36.93237223502921,27.8527095703125
2,99,73,-36.93237223502921,27.061182421875
1,99,74,-36.64127671258637,27.77744970703125
2,99,74,-36.64127671258637,26.85732978515625
1,99,75,-36.33500746835399,27.70218720703125
2,99,75,-36.33500746835399,26.65347451171875
1,99,76,-36.014040108900055,27.626927343750005
2,99,76,-36.014040108900055,26.449621875
1,99,77,-35.67782933453249,27.55166484375
2,99,77,-35.67782933453249,26.2457666015625
1,99,78,-35.3277121068483,27.47640498046875
2,99,78,-35.3277121068483,26.041913964843754
1,99,79,-34.962336589419,27.40114248046875
2,99,79,-34.962336589419,25.83805869140625
1,99,80,-34.58339342587062,27.325882617187506
2,99,80,-34.58339342587062,25.634206054687503
1,99,81,-34.19043414149035,27.2506201171875
2,99,81,-34.19043414149035,25.430350781250002
1,99,82,-33.783350636994136,27.1753576171875
2,99,82,-33.783350636994136,25.226500781250003
1,99,83,-33.36211898762382,27.10009775390625
2,99,83,-33.36211898762382,25.022648144531253
1,99,84,-32.92570583834162,27.024835253906257
2,99,84,-32.92570583834162,24.81879287109375
1,99,85,-32.475515143588716,26.949575390625
2,99,85,-32.475515143588716,24.614940234375002
1,99,86,-32.01077115524832,26.874312890625
2,99,86,-32.01077115524832,24.4110849609375
1,99,87,-31.53160695009491,26.79905302734375
2,99,87,-31.53160695009491,24.207232324218754
1,99,88,-31.037161478660167,26.723790527343755
2,99,88,-31.037161478660167,24.00337705078125
1,99,89,-30.526348291201717,26.6485306640625
2,99,89,-30.526348291201717,23.799524414062503
1,99,90,-30.00241014730285,26.5732681640625
2,99,90,-30.00241014730285,23.595669140625
1,99,91,-29.463437577052385,26.4980056640625
2,99,91,-29.463437577052385,23.391819140625003
1,99,92,-28.910005536796586,26.422745800781257
2,99,92,-28.910005536796586,23.18796650390625
1,99,93,-28.34130504817952,26.34748330078125
2,99,93,-28.34130504817952,22.984111230468752
1,99,94,-27.758231773944658,26.2722234375
2,99,94,-27.758231773944658,22.78025859375
1,99,95,-27.16136022496889,26.196960937500002
2,99,95,-27.16136022496889,22.576403320312505
1,99,96,-26.550762158609114,26.12170107421875
2,99,96,-26.550762158609114,22.37255068359375
1,99,97,-25.926915270433952,26.04643857421875
2,99,97,-25.926915270433952,22.16869541015625
1,99,98,-25.28919469231398,25.971178710937505
2,99,98,-25.28919469231398,21.964842773437503
1,99,99,-24.63895832251455,25.895916210937504
2,99,99,-24.63895832251455,21.7609875
1,99,100,-23.97656808294663,25.82065634765625
2,99,100,-23.97656808294663,21.557134863281252
1,99,101,-23.302526085036078,25.74539384765625
2,99,101,-23.302526085036078,21.35328486328125
1,99,102,-22.6166960491452,25.670131347656252
2,99,102,-22.6166960491452,21.149429589843752
1,99,103,-21.91894251188212,25.594871484375002
2,99,103,-21.91894251188212,20.945576953125
1,99,104,-21.210029854701602,25.519608984375
2,99,104,-21.210029854701602,20.741721679687505
1,99,105,-20.49089279314434,24.729365917968753
2,99,105,-20.49089279314434,21.252852246093752
1,99,106,-19.76109052693311,23.9391228515625
2,99,106,-19.76109052693311,21.763977539062502
1,99,107,-19.020054579294957,23.1488771484375
2,99,107,-19.020054579294957,22.275110742187504
1,99,108,-18.26822805113818,22.35863408203125
2,99,108,-18.26822805113818,22.786236035156254
1,99,109,-17.5059279291014,21.568391015625004
2,99,109,-17.5059279291014,23.2973666015625
1,99,110,-16.733039416661278,20.7781453125
2,99,110,-16.733039416661278,23.808499804687504
