k,i,j,bhead,cond
1,0,46,-13.661132185453896,29.8847654296875
2,0,46,-13.661132185453896,32.56522734375
1,0,47,-13.907539372952243,29.80950556640625
2,0,47,-13.907539372952243,32.36137470703125
1,0,48,-14.143680518456142,29.73424306640625
2,0,48,-14.143680518456142,32.15751943359375
1,0,49,-14.365800174325551,29.658983203125008
2,0,49,-14.365800174325551,31.953666796875005
1,0,50,-14.572254221877216,29.583720703125
2,0,50,-14.572254221877216,31.7498115234375
1,0,51,-14.761148250089606,29.50846083984375
2,0,51,-14.761148250089606,31.545958886718754
1,0,52,-14.9356617318968,29.43319833984375
2,0,52,-14.9356617318968,31.34210361328125
1,0,53,-15.096440590295337,29.357938476562506
2,0,53,-15.096440590295337,31.138250976562507
1,0,54,-15.247831504769664,29.2826759765625
2,0,54,-15.247831504769664,30.934395703125
1,0,55,-15.39129232352632,29.2074134765625
2,0,55,-15.39129232352632,30.730545703125006
1,0,56,-15.528680689279524,29.13215361328125
2,0,56,-15.528680689279524,30.52669306640625
1,0,57,-15.661112863819989,29.056891113281257
2,0,57,-15.661112863819989,30.322837792968755
1,0,58,-15.789028066347589,28.98163125
2,0,58,-15.789028066347589,30.11898515625
1,0,59,-15.91337837501954,28.90636875
2,0,59,-15.91337837501954,29.9151298828125
1,0,60,-16.034119096698948,28.83110888671875
2,0,60,-16.034119096698948,29.71127724609375
1,0,61,-16.151814555964112,28.755846386718755
2,0,61,-16.151814555964112,29.50742197265625
1,0,62,-16.26701863246109,28.6805865234375
2,0,62,-16.26701863246109,29.3035693359375
1,0,63,-16.379198172241555,28.6053240234375
2,0,63,-16.379198172241555,29.0997140625
1,0,64,-16.488977774316396,28.5300615234375
2,0,64,-16.488977774316396,28.8958640625
1,0,65,-16.596315555904866,28.454801660156257
2,0,65,-16.596315555904866,28.69201142578125
1,0,66,-16.701491305362758,28.37953916015625
2,0,66,-16.701491305362758,28.488156152343755
1,0,67,-16.804789246322443,28.304279296875
2,0,67,-16.804789246322443,28.284303515625
1,0,68,-16.905874857114416,28.229016796875
2,0,68,-16.905874857114416,28.080448242187504
1,0,69,-17.005270649787878,28.15375693359375
2,0,69,-17.005270649787878,27.87659560546875
1,0,70,-17.103005141384557,28.07849443359375
2,0,70,-17.103005141384557,27.672740332031257
1,0,71,-17.199218201740972,28.0032345703125
2,0,71,-17.199218201740972,27.4688876953125
1,0,72,-17.294133420419925,27.927972070312507
2,0,72,-17.294133420419925,27.265032421875
1,0,73,-17.38763824761968,27.8527095703125
2,0,73,-17.38763824761968,27.061182421875
